,Word,MeanValence,ValenceStand,MeanArousal,type,letters,frequency,Concreteness,Img,pos,Unnamed: 10,Unnamed: 11,Unnamed: 12
2,alone,3.85,3.85,4.0,0,5,15735,2.86,480.0,noun,,,
51,fool,3.56,3.56,4.86,0,4,4556,3.19,436.0,noun,,,
142,undesirable,3.0,3.0,4.0,0,11,33,2.22,,noun,,,
74,immoral,2.79,,5.42,0,7,133,1.59,,adj,,,
58,grievance,3.14,3.14,3.92,0,5,552,2.19,340.0,noun,,,
87,leper,3.3,3.3,4.24,0,5,63,3.74,,noun,,,
140,turnoff,2.85,2.85,4.26,0,7,36,2.36,,noun,,,
151,unpleasantness,2.59,2.59,4.36,0,14,29,2.0,425.0,noun,,,
83,irresponsible,2.5,,5.0,0,13,237,2.04,,adj,,,
80,inferior,3.43,3.43,4.55,0,8,156,1.7,,adj,,,
119,sad,2.1,,3.49,0,3,3232,3.07,,adj,,,
26,cynic,3.45,3.45,4.68,0,5,56,2.64,377.0,noun,,,
42,dummy,3.66,3.66,3.79,0,5,500,3.96,562.0,noun,,,
213,courtesy,6.79,3.21,4.3,1,8,414,1.77,,noun,,,
205,companion,7.25,2.75,4.06,1,9,323,3.75,,noun,,,
341,volunteer,7.35,2.65,3.95,1,9,475,3.77,,noun,,,
203,comforting,7.47,,3.0,1,10,222,2.41,,adj,,,
223,enchantment,6.8,3.2,5.29,1,11,29,1.63,,noun,,,
343,wealth,7.33,2.67,5.24,1,6,324,2.63,500.0,noun,,,
280,newlywed,6.9,3.1,6.32,1,8,22,3.81,,noun,,,
207,compatibility,6.5,3.5,5.32,1,13,23,1.94,,noun,,,
246,giggle,7.95,2.05,5.39,1,6,87,3.72,,noun,,,
342,warmth,7.53,2.47,4.33,1,6,227,3.39,551.0,noun,,,
340,visionary,6.6,3.4,4.48,1,9,66,2.48,,noun,,,
195,champion,7.33,2.67,4.74,1,8,1067,3.82,,adj,,,
239,friend,6.79,3.21,4.29,1,6,21384,3.07,587.0,noun,,,
177,amusement,7.0,3.0,4.82,1,9,191,2.07,,noun,,,
228,enthusiastic,7.55,2.45,5.9,1,12,142,2.76,,adj,,,
217,delighted,7.74,,5.0,1,9,660,2.86,,adj,,,
183,attractive,7.19,2.81,4.91,1,10,1256,2.64,,adj,,,
266,jolly,7.47,,5.95,1,5,382,2.34,,adj,,,
343,wealth,7.33,2.67,5.24,1,6,324,2.63,500.0,noun,,,
307,romantic,7.61,2.39,5.12,1,8,1794,1.93,,noun,,,
295,positive,7.57,2.43,5.5,1,8,1613,2.44,,adj,,,
344,wellness,7.67,2.33,4.56,1,8,21,2.0,,noun,,,
257,hopeful,7.44,,4.84,1,7,152,1.7,,adj,,,
307,romantic,7.61,2.39,5.12,1,8,1794,1.93,,noun,,,
201,closeness,6.85,3.15,3.9,1,9,36,2.39,,noun,,,
306,respectful,7.45,,3.32,1,10,97,2.19,,adj,,,
321,spontaneity,6.45,3.55,5.57,1,11,42,1.7,,noun,,,
234,extraordinary,7.45,2.55,4.22,1,13,771,2.13,,adj,,,
242,funny,7.59,,5.38,1,5,11127,2.5,,adj,,,
246,giggle,7.95,2.05,5.39,1,6,87,3.72,,noun,,,
252,healthy,7.76,,4.19,1,7,1262,3.31,,adj,,,
344,wellness,7.67,2.33,4.56,1,8,21,2.0,,noun,,,
199,clever,7.36,2.64,5.25,1,6,1391,1.79,,adj,,,
185,awesome,7.86,,6.05,1,7,1600,1.83,,adj,,,
245,gentle,7.42,2.58,3.17,1,6,844,2.1,,adj,,,
294,pleasure,7.8,2.2,6.8,1,8,4118,2.04,511.0,noun,,,
242,funny,7.59,,5.38,1,5,11127,2.5,,adj,,,
324,sweetheart,7.84,2.16,5.39,1,10,3272,2.79,443.0,noun,,,
267,joy,8.21,1.79,5.55,1,3,1456,2.37,533.0,noun,,,
328,thoughtful,7.26,,2.55,1,10,398,1.96,,adj,,,
253,heir,6.29,3.71,4.0,1,4,266,3.21,394.0,noun,,,
268,kinship,7.53,2.47,4.65,1,7,22,2.21,,noun,,,
237,focus,6.48,3.52,4.45,1,5,1499,2.35,,noun,,,
328,thoughtful,7.26,,2.55,1,10,398,1.96,,adj,,,
342,warmth,7.53,2.47,4.33,1,6,227,3.39,551.0,noun,,,
217,delighted,7.74,,5.0,1,9,660,2.86,,adj,,,
275,lucky,7.32,2.68,5.3,1,5,7316,1.76,,adj,,,
335,useful,7.1,2.9,3.83,1,6,669,2.14,,adj,,,
230,excellence,7.87,,5.3,1,10,134,2.2,,noun,,,
218,dependable,7.24,2.76,3.5,1,10,85,1.86,,adj,,,
288,pedigree,6.33,3.67,4.09,1,8,39,2.79,,noun,,,
342,warmth,7.53,2.47,4.33,1,6,227,3.39,551.0,noun,,,
348,witty,7.25,2.75,5.65,1,5,163,2.21,,adj,,,
277,mentor,7.05,2.95,3.5,1,6,178,3.7,,noun,,,
333,unity,6.67,3.33,4.8,1,5,138,2.23,,noun,,,
199,clever,7.36,2.64,5.25,1,6,1391,1.79,,adj,,,
183,attractive,7.19,2.81,4.91,1,10,1256,2.64,,adj,,,
267,joy,8.21,1.79,5.55,1,3,1456,2.37,533.0,noun,,,
187,blessing,7.18,2.82,4.21,1,8,495,2.19,422.0,noun,,,
219,devoted,7.16,2.84,4.22,1,7,409,1.88,,adj,,,
207,compatibility,6.5,3.5,5.32,1,13,23,1.94,,noun,,,
323,success,7.49,2.51,5.8,1,7,1390,2.21,443.0,noun,,,
271,legend,6.86,3.14,5.13,1,6,875,2.96,,noun,,,
238,fondness,7.68,2.32,3.55,1,8,26,1.66,,noun,,,
217,delighted,7.74,,5.0,1,9,660,2.86,,adj,,,
229,esteem,6.38,3.62,3.91,1,6,86,1.83,,noun,,,
335,useful,7.1,2.9,3.83,1,6,669,2.14,,adj,,,
210,confident,7.56,2.44,4.62,1,9,543,2.62,,adj,,,
313,significance,6.21,3.79,4.0,1,12,178,1.68,,noun,,,
225,enjoyable,7.63,2.37,4.77,1,9,99,2.04,,adj,,,
215,creator,6.45,3.55,4.89,1,7,142,3.07,409.0,noun,,,
280,newlywed,6.9,3.1,6.32,1,8,22,3.81,,noun,,,
222,easygoing,7.03,,3.2,1,9,22,1.59,,adj,,,
294,pleasure,7.8,2.2,6.8,1,8,4118,2.04,511.0,noun,,,
276,mentor,7.05,2.95,3.5,1,6,178,3.7,,noun,,,
333,unity,6.67,3.33,4.8,1,5,138,2.23,,noun,,,
247,goodwill,6.47,3.53,4.95,1,8,167,2.54,,noun,,,
189,brain,6.22,3.78,3.35,1,5,3928,4.69,572.0,noun,,,
251,healer,7.38,2.62,3.95,1,6,84,3.52,,noun,,,
213,courtesy,6.79,3.21,4.3,1,8,414,1.77,,noun,,,
216,delight,8.21,1.79,5.02,1,7,288,2.3,459.0,noun,,,
170,achievement,7.28,2.72,5.57,1,11,178,2.37,,noun,,,
172,adventure,7.4,2.6,6.36,1,9,685,2.59,,noun,,,
242,funny,7.59,,5.38,1,5,11127,2.5,,adj,,,
331,trustworthy,7.25,,4.22,1,11,94,2.39,,adj,,,
181,athlete,6.21,3.79,4.75,1,7,235,4.3,591.0,noun,,,
196,charitable,7.33,2.67,3.5,1,10,104,2.13,,adj,,,
332,unique,7.32,2.68,4.0,1,6,696,1.89,,adj,,,
180,asset,7.25,2.75,4.43,1,5,193,2.92,,noun,,,
264,insight,6.76,3.24,3.96,1,7,143,1.72,329.0,noun,,,
204,commitment,6.33,3.67,4.26,1,10,550,1.74,,noun,,,
300,progress,6.58,3.42,3.82,1,8,1084,2.12,,noun,,,
283,optimist,7.19,2.81,4.43,1,8,78,1.9,,noun,,,
269,kisser,7.33,2.67,5.85,1,6,174,3.7,,noun,,,
213,courtesy,6.79,3.21,4.3,1,8,414,1.77,,noun,,,
323,success,7.49,2.51,5.8,1,7,1390,2.21,443.0,noun,,,
293,pleased,7.82,,4.25,1,7,1455,2.37,,adj,,,
271,legend,6.86,3.14,5.13,1,6,875,2.96,,noun,,,
214,creative,7.06,2.94,4.86,1,8,548,1.93,,adj,,,
199,clever,7.36,2.64,5.25,1,6,1391,1.79,,adj,,,
