,Word,MeanValence,ValenceStand,MeanArousal,type,letters,frequency,Concreteness,Img,pos,Unnamed: 10,Unnamed: 11,Unnamed: 12
98,mousy,3.74,3.74,3.1,0,5,42,2.5,,noun,,,
141,unbearable,2.1,2.1,5.76,0,10,129,2.0,,adj,NegPos,,
71,hypocrite,3.25,3.25,4.77,0,9,166,2.55,,noun,,,
136,toxin,2.42,2.42,5.52,0,5,46,3.89,,noun,,,
156,unwelcome,3.5,3.5,4.39,0,9,37,2.0,,adj,,,
99,nauseous,1.95,1.95,4.18,0,8,158,2.41,,adj,,,
57,grief,2.33,2.33,4.95,0,8,53,2.7,480.0,noun,,,
47,failure,2.15,2.15,5.0,0,7,1021,2.08,437.0,noun,,,
61,hag,2.32,2.32,4.52,0,3,91,3.68,,noun,,,
61,hag,2.32,2.32,4.52,0,3,91,3.68,,noun,,,
30,destroyer,2.16,2.16,6.09,0,9,185,3.59,508.0,noun,,,
107,peril,3.19,3.19,5.95,0,5,98,2.52,,noun,,,
157,unworthy,2.79,2.79,4.24,0,8,97,1.93,,adj,,,
126,sinner,3.25,3.25,5.38,0,6,126,3.07,,noun,,,
293,pleased,7.82,,4.25,1,7,1455,2.37,,adj,,,
254,helper,6.71,3.29,3.22,1,6,103,3.39,,noun,,,
179,art,6.85,3.15,4.48,1,3,3611,4.17,493.0,noun,,,
329,tolerance,6.43,3.57,3.36,1,9,130,2.11,,noun,,,
347,wise,7.42,,4.46,1,4,1452,1.97,,adj,,,
235,favor,6.67,3.33,4.61,1,5,3609,2.07,,noun,,,
199,clever,7.36,2.64,5.25,1,6,1391,1.79,,adj,,,
297,prize,8.0,2.0,5.5,1,5,1142,4.45,517.0,noun,,,
305,respect,6.79,3.21,4.79,1,7,3644,2.04,343.0,noun,,,
259,hugger,6.81,3.19,4.8,1,6,21,4.14,,noun,,,
184,awareness,6.45,3.55,3.73,1,9,115,1.84,,noun,,,
323,success,7.49,2.51,5.8,1,7,1390,2.21,443.0,noun,,,
207,compatibility,6.5,3.5,5.32,1,13,23,1.94,,noun,,,
211,consideration,6.4,3.6,3.45,1,13,334,1.86,318.0,noun,,,
285,passion,7.53,,6.08,1,7,1008,2.3,,adj,,,
237,focus,6.48,3.52,4.45,1,5,1499,2.35,,noun,,,
330,traveler,6.39,3.61,4.75,1,8,154,4.07,,noun,,,
239,friend,6.79,3.21,4.29,1,6,21384,3.07,587.0,noun,,,
214,creative,7.06,2.94,4.86,1,8,548,1.93,,adj,,,
190,bravery,7.38,2.62,5.84,1,7,147,1.96,450.0,noun,,,
347,wise,7.42,,4.46,1,4,1452,1.97,,adj,,,
223,enchantment,6.8,3.2,5.29,1,11,29,1.63,,noun,,,
344,wellness,7.67,2.33,4.56,1,8,21,2.0,,noun,,,
238,fondness,7.68,2.32,3.55,1,8,26,1.66,,noun,,,
215,creator,6.45,3.55,4.89,1,7,142,3.07,409.0,noun,,,
217,delighted,7.74,,5.0,1,9,660,2.86,,adj,,,
292,pizzazz,6.79,3.21,5.95,1,7,29,1.8,,noun,,,
312,seeker,6.33,3.67,4.95,1,6,47,3.44,,noun,,,
332,unique,7.32,2.68,4.0,1,6,696,1.89,,adj,,,
347,wise,7.42,,4.46,1,4,1452,1.97,,adj,,,
336,valedictorian,6.32,3.68,4.43,1,13,63,3.93,,noun,,,
277,mentor,7.05,2.95,3.5,1,6,178,3.7,,noun,,,
173,adventurer,7.0,3.0,5.27,1,10,37,3.73,497.0,noun,,,
333,unity,6.67,3.33,4.8,1,5,138,2.23,,noun,,,
292,pizzazz,6.79,3.21,5.95,1,7,29,1.8,,noun,,,
297,prize,8.0,2.0,5.5,1,5,1142,4.45,517.0,noun,,,
317,sophistication,6.71,3.29,5.8,1,14,49,1.92,,noun,,,
266,jolly,7.47,,5.95,1,5,382,2.34,,adj,,,
288,pedigree,6.33,3.67,4.09,1,8,39,2.79,,noun,,,
185,awesome,7.86,,6.05,1,7,1600,1.83,,adj,,,
224,energetic,7.57,2.43,6.1,1,9,66,2.83,,adj,,,
214,creative,7.06,2.94,4.86,1,8,548,1.93,,adj,,,
269,kisser,7.33,2.67,5.85,1,6,174,3.7,,noun,,,
222,easygoing,7.03,,3.2,1,9,22,1.59,,adj,,,
284,partner,7.11,2.89,3.7,1,7,3836,3.53,513.0,noun,,,
232,excited,8.11,1.89,6.43,1,7,2479,2.32,,adj,,,
261,idealist,6.55,3.45,4.19,1,8,34,1.52,,noun,,,
327,thinker,7.26,2.74,4.45,1,7,60,2.54,405.0,noun,,,
184,awareness,6.45,3.55,3.73,1,9,115,1.84,,noun,,,
253,heir,6.29,3.71,4.0,1,4,266,3.21,394.0,noun,,,
205,companion,7.25,2.75,4.06,1,9,323,3.75,,noun,,,
243,generous,7.43,2.57,5.7,1,8,852,2.25,,adj,,,
266,jolly,7.47,,5.95,1,5,382,2.34,,adj,,,
243,generous,7.43,2.57,5.7,1,8,852,2.25,,adj,,,
310,saint,6.4,3.6,3.48,1,5,914,3.45,394.0,noun,,,
313,significance,6.21,3.79,4.0,1,12,178,1.68,,noun,,,
268,kinship,7.53,2.47,4.65,1,7,22,2.21,,noun,,,
315,smart,7.73,2.27,3.81,1,5,4909,1.75,,adj,,,
306,respectful,7.45,,3.32,1,10,97,2.19,,adj,,,
280,newlywed,6.9,3.1,6.32,1,8,22,3.81,,noun,,,
262,importance,6.39,3.61,4.15,1,10,390,1.75,347.0,noun,,,
242,funny,7.59,,5.38,1,5,11127,2.5,,adj,,,
315,smart,7.73,2.27,3.81,1,5,4909,1.75,,adj,,,
252,healthy,7.76,,4.19,1,7,1262,3.31,,adj,,,
218,dependable,7.24,2.76,3.5,1,10,85,1.86,,adj,,,
347,wise,7.42,,4.46,1,4,1452,1.97,,adj,,,
220,dreamer,7.45,2.55,4.4,1,7,155,2.19,507.0,noun,,,
199,clever,7.36,2.64,5.25,1,6,1391,1.79,,adj,,,
228,enthusiastic,7.55,2.45,5.9,1,12,142,2.76,,adj,,,
180,asset,7.25,2.75,4.43,1,5,193,2.92,,noun,,,
281,nourishment,7.44,2.56,3.1,1,11,62,2.97,,noun,,,
179,art,6.85,3.15,4.48,1,3,3611,4.17,493.0,noun,,,
268,kinship,7.53,2.47,4.65,1,7,22,2.21,,noun,,,
216,delight,8.21,1.79,5.02,1,7,288,2.3,459.0,noun,,,
239,friend,6.79,3.21,4.29,1,6,21384,3.07,587.0,noun,,,
299,proficiency,6.79,3.21,3.86,1,11,21,1.96,,noun,,,
245,gentle,7.42,2.58,3.17,1,6,844,2.1,,adj,,,
184,awareness,6.45,3.55,3.73,1,9,115,1.84,,noun,,,
168,academic,6.61,3.39,3.32,1,8,238,2.11,,noun,,,
234,extraordinary,7.45,2.55,4.22,1,13,771,2.13,,adj,,,
178,appeal,6.3,3.7,3.57,1,6,663,1.73,402.0,noun,,,
212,contentment,6.62,3.38,4.6,1,11,21,2.25,,noun,,,
261,idealist,6.55,3.45,4.19,1,8,34,1.52,,noun,,,
245,gentle,7.42,2.58,3.17,1,6,844,2.1,,adj,,,
331,trustworthy,7.25,,4.22,1,11,94,2.39,,adj,,,
281,nourishment,7.44,2.56,3.1,1,11,62,2.97,,noun,,,
302,rapport,6.26,3.74,3.73,1,7,32,1.84,,noun,,,
277,mentor,7.05,2.95,3.5,1,6,178,3.7,,noun,,,
193,carefree,7.32,2.68,4.15,1,8,69,1.88,,adj,,,
348,witty,7.25,2.75,5.65,1,5,163,2.21,,adj,,,
265,intellectual,7.65,2.35,4.53,1,12,234,1.81,,noun,,,
252,healthy,7.76,,4.19,1,7,1262,3.31,,adj,,,
220,dreamer,7.45,2.55,4.4,1,7,155,2.19,507.0,noun,,,
346,winner,7.86,2.14,6.53,1,6,1592,3.21,,noun,,,
268,kinship,7.53,2.47,4.65,1,7,22,2.21,,noun,,,
327,thinker,7.26,2.74,4.45,1,7,60,2.54,405.0,noun,,,
292,pizzazz,6.79,3.21,5.95,1,7,29,1.8,,noun,,,
249,grateful,7.5,2.5,4.29,1,5,1355,1.78,,adj,,,
280,newlywed,6.9,3.1,6.32,1,8,22,3.81,,noun,,,
309,safety,7.14,2.86,3.8,1,6,1649,2.37,397.0,noun,,,
