Document,turnoff,pest,loser,captive,worthless,cynic,traitor,distress,jerk,selfish,bastard,disappointment,insulting,unwanted,gloom,filth,dull,lazy,failure,untrustworthy,stress,prick,terrible,pollution,alone,inadequate,regret,bitterness,mess,irritating,garbage,annoying,irresponsible,stinky,unwelcome,phony,degenerate,heartbroken,reject,hesitation,sad,insecure,awkward,hypocrite,shame,anxiety,disaster,dropout,disgrace,scoundrel,grumpy,hardship,sloppy,creep,defect,slimy,embarrassed,overwhelmed,fraud,vermin,unforgivable,quitter,undesirable,burden,repulsive,slob,uninvited,menace,unemployed,maggot,liar,terrified,vagrant,incapable,emptiness,disgusting,outcast,gross,negligent,nauseous,parasite,hater,unfaithful,incompetent,unbearable,boring,inferior,rude,headache,copycat,tense,unlucky,idiot,fool,lunatic,miserable,pity,coward,immoral,dummy
bastard,0.1,0,0.16,0.15,0.12,0.22,0.19,0.12,0.23,0.12,1,0.24,0.17,0.07,0.21,0.21,0.2,0.28,0.05,0.29,-0.02,0.17,0.35,-0.01,0.28,0.01,0.16,0.19,0.36,0.06,0.04,0.07,-0.03,0.09,0.05,0.18,0.11,0.11,0.04,0.19,0.21,0.05,0.17,0.17,0.36,0.02,0.1,0.09,0.17,0.08,0.06,0.05,0.11,0.25,0.01,0.14,0.25,0.11,0,0.13,0.07,0.1,0,0.09,0.07,0.09,0.22,0.06,0,0.09,0.28,0.24,0.08,0.2,0.07,0.28,0.22,0.04,0.19,0.13,0.06,0.14,0.08,0.05,0.18,0.21,0.09,0.25,0.09,0.05,0.06,0.3,0.22,0.46,0.26,0.37,0.35,0.22,0.07,0.12
disappointment,0.07,0.04,0.2,0.27,0.17,0.17,0.23,0.4,0.2,0.27,0.24,1,0.23,0.09,0.39,0.21,0.37,0.26,0.34,0.13,0.15,0.15,0.43,0.06,0.45,0.23,0.44,0.3,0.26,0.14,0.04,0.23,0.12,0.07,0.09,0.12,0.21,0.1,0.17,0.36,0.32,0.24,0.43,0.19,0.38,0.32,0.28,0.06,0.34,0.32,0.15,0.22,0.17,0.24,0.09,0.15,0.45,0.36,0.11,0.22,0.21,0.12,0.1,0.29,0.03,0.05,0.09,0.25,0.14,0,0.24,0.35,0.16,0.2,0.3,0.23,0.13,0.09,0.04,0.16,0.03,0.06,0.08,0.14,0.34,0.22,0.17,0.4,0.19,0.12,0.06,0.26,0.33,0.44,0.19,0.57,0.45,0.29,0.05,0.2
insulting,0.05,0.02,0.09,0.23,0.24,0.25,0.14,0.17,0.19,0.2,0.17,0.23,1,0.05,0.11,0.15,0.21,0.22,0.13,0.15,0.1,0.1,0.28,-0.03,0.24,0.09,0.34,0.24,0.04,0.06,0.04,0.05,0.16,0.18,0.04,0.14,0.05,0.1,0.16,0.23,0.15,0.15,0.21,0.04,0.29,0.14,0.24,0.07,0.22,0.17,0.16,0.09,0.18,0.09,0.06,0.02,0.22,0.15,0.14,0.17,0.12,0.05,0.06,0.12,0.02,0.08,0.08,0.23,0.09,0.06,0.12,0.2,0.07,0.25,0.11,0.1,0.13,0.01,0.08,-0.03,-0.01,0.02,0.02,0.02,0.19,0.12,0.22,0.17,0.03,0.02,0.06,0.17,0.19,0.26,0.25,0.23,0.27,0.22,0.15,0.12
unwanted,0.05,0.14,0.05,0.08,0.19,-0.02,0.1,0.11,0.03,0.12,0.07,0.09,0.05,1,0.04,0.22,0.08,0.08,0.2,0.07,0.13,0.03,0.09,0.49,0.19,0.33,0.07,0.03,0.19,0.27,0.41,0.31,0.11,0.09,0.08,0.11,0.13,0.05,0.21,0.1,0.09,0.22,0.15,-0.01,0.13,0.18,0.13,0,0.07,0.01,0.02,0.14,0.09,0.13,0.13,0.07,0.14,0.1,0.1,0.08,0.08,0,0.37,0.15,-0.01,0.07,0.08,0.16,0.09,0.15,0.07,0.09,0.05,0.18,0.07,0.07,0,0.09,0.1,0.05,0.01,-0.03,0.08,0.06,0.12,0.1,0.17,0.15,0.12,0,0.06,0.08,0.06,0.01,0.14,0.08,0.06,0.01,0.21,0.07
gloom,0.16,0,0.04,0.32,0.22,0.15,0.12,0.39,0.25,0.17,0.21,0.39,0.11,0.04,1,0.24,0.43,0.31,0.08,0.08,0.01,0.18,0.39,0,0.41,0.08,0.35,0.3,0.15,0.1,0.04,0.11,0.07,0.13,0.09,0.1,0.09,0.07,0.05,0.4,0.25,0.1,0.24,0.2,0.36,0.14,0.2,0.02,0.29,0.35,0.06,0.17,-0.02,0.21,0.03,0.2,0.25,0.3,0.05,0.23,0.28,0.11,0.01,0.26,0.02,0.07,0.18,0.19,0.05,-0.02,0.11,0.48,0.3,0.15,0.39,0.22,0.31,0.03,0.01,0.1,-0.01,0,0.07,0.08,0.26,0.15,0.14,0.33,0.1,0.03,0.09,0.27,0.25,0.26,0.25,0.44,0.46,0.32,0.03,0.21
filth,0.01,-0.01,0.17,0.29,0.16,-0.04,0.14,0.18,0.09,0.22,0.21,0.21,0.15,0.22,0.24,1,0.18,0.22,0.19,0.08,0.01,0.07,0.25,0.23,0.23,0.14,0.21,0.22,0.26,0.16,0.27,0.19,0.14,0.02,0.12,0.1,0.11,-0.05,0.11,0.19,0.08,0.07,0.14,0.04,0.28,0.07,0.2,-0.01,0.12,0.23,-0.03,0.15,0.01,0.05,0.06,0.1,0.14,0.18,0.1,0.3,0.1,0.02,0.06,0.19,0.09,0.04,0.09,0.21,0.07,0.13,0.18,0.22,0.17,0.22,0.13,0.07,0.15,0.11,0.07,0.16,0.02,0.03,0.01,0.06,0.14,-0.01,0.23,0.24,0.14,-0.03,0.04,0.2,0.17,0.17,0.25,0.25,0.26,0.17,0.19,0.14
dull,0.14,0,0.04,0.22,0.11,0.09,0.17,0.21,0.27,0.21,0.2,0.37,0.21,0.08,0.43,0.18,1,0.36,0.13,0.01,0.07,0.34,0.28,0,0.36,0.11,0.3,0.15,0.22,0.13,0.08,0.16,0.06,0.03,0.1,0.13,0.06,0.07,0.07,0.25,0.28,0.05,0.27,0.14,0.21,0.13,0.14,-0.01,0.22,0.23,0.17,0.15,0.1,0.2,0.11,0.22,0.32,0.2,0.07,0.19,0.17,0.04,0.12,0.19,0.1,0.07,0.11,0.11,0.03,-0.03,0.18,0.26,0.18,0.12,0.28,0.21,0.24,0.04,0.07,0.06,0.02,0.05,0.07,0.08,0.26,0.3,0.14,0.28,0.16,0.03,0.04,0.13,0.29,0.31,0.12,0.39,0.27,0.18,0.08,0.12
lazy,0.08,0.02,0.1,0.22,0.17,0.09,0.16,0.18,0.22,0.21,0.28,0.26,0.22,0.08,0.31,0.22,0.36,1,0.13,0.16,0.05,0.14,0.42,0.02,0.38,0.11,0.24,0.17,0.24,0.17,0.06,0.19,0.15,0.04,0.07,0.16,0.08,0.13,0.09,0.2,0.33,0.08,0.24,0.09,0.37,0.06,0.12,-0.02,0.22,0.14,0.28,0.13,0.15,0.23,0.05,0.14,0.28,0.13,0.06,0.14,0.12,0.01,0.05,0.18,0.06,0.05,0.08,0.04,0.04,0.01,0.23,0.29,0.12,0.13,0.23,0.25,0.18,0.04,0.06,0.09,-0.04,0.01,0.03,0.08,0.28,0.18,0.08,0.37,0.17,-0.04,-0.03,0.23,0.28,0.44,0.14,0.43,0.43,0.26,0.07,0.15
failure,-0.04,0.05,0.26,0.23,0.19,0.03,0.09,0.37,0.15,0.22,0.05,0.34,0.13,0.2,0.08,0.19,0.13,0.13,1,0.06,0.29,0.06,0.18,0.07,0.23,0.49,0.24,0.26,0.13,0.19,0.06,0.2,0.38,-0.02,0.22,0.16,0.16,0.05,0.41,0.21,0.04,0.32,0.21,0.01,0.18,0.47,0.36,0.18,0.16,0.1,0,0.24,0.14,0.14,0.37,0.03,0.19,0.26,0.32,0.1,0.1,-0.02,0.34,0.4,0.01,0.08,0.06,0.32,0.16,-0.01,0.09,0.08,0.06,0.3,0.14,0.11,0.1,0.22,0.21,0.05,0.08,0.07,0.09,0.41,0.17,0.18,0.25,0.09,0.21,0.02,0.07,0.05,0.15,0.1,0.07,0.22,0.16,0.13,0.21,0.12
untrustworthy,-0.06,-0.04,-0.05,0.06,0.05,0.25,0.17,0.08,0.07,0.15,0.29,0.13,0.15,0.07,0.08,0.08,0.01,0.16,0.06,1,0.08,-0.06,0.19,-0.02,0.18,0.05,0.15,0.11,0.08,-0.03,-0.02,0.09,0.01,0.02,-0.01,0.11,0,0.13,-0.02,0.17,0.07,0.03,0.02,0.04,0.23,0.09,0,-0.09,0.13,0.1,0.01,0.09,0.09,0.03,0,-0.04,0.25,0,-0.03,0.08,0.09,-0.08,0.1,0.04,0.06,-0.07,0.14,0.04,0.03,-0.03,0.2,0.16,0.06,0.15,0.05,0.2,-0.03,-0.01,0.05,0.15,0,0.17,0.04,0.03,0.2,0.08,0.04,0.19,0.03,-0.04,-0.02,0.09,0.14,0.25,0.29,0.31,0.12,0.12,0.12,0.02
