Document,turnoff,pest,loser,captive,worthless,cynic,traitor,distress,jerk,selfish,bastard,disappointment,insulting,unwanted,gloom,filth,dull,lazy,failure,untrustworthy,stress,prick,terrible,pollution,alone,inadequate,regret,bitterness,mess,irritating,garbage,annoying,irresponsible,stinky,unwelcome,phony,degenerate,heartbroken,reject,hesitation,sad,insecure,awkward,hypocrite,shame,anxiety,disaster,dropout,disgrace,scoundrel,grumpy,hardship,sloppy,creep,defect,slimy,embarrassed,overwhelmed,fraud,vermin,unforgivable,quitter,undesirable,burden,repulsive,slob,uninvited,menace,unemployed,maggot,liar,terrified,vagrant,incapable,emptiness,disgusting,outcast,gross,negligent,nauseous,parasite,hater,unfaithful,incompetent,unbearable,boring,inferior,rude,headache,copycat,tense,unlucky,idiot,fool,lunatic,miserable,pity,coward,immoral,dummy
garbage,0.02,0.15,-0.01,0.08,0.12,-0.02,-0.03,-0.02,0.08,0.01,0.04,0.04,0.04,0.41,0.04,0.27,0.08,0.06,0.06,-0.02,0,0.05,0.1,0.76,0.13,0.11,0.05,0.04,0.38,0.27,1,0.18,0.03,0.06,0.05,0.09,0,-0.04,0.02,0,0.09,-0.02,0.03,-0.05,0.06,-0.04,0.11,0.05,0.09,-0.07,0.09,0.04,0.07,0.16,-0.02,0.14,0.06,0.07,-0.02,0.09,0.01,0.02,0.1,0.1,0.03,0.02,0.09,0.04,0.05,0.08,0.03,0.04,0.08,0,-0.02,0.03,0.09,0.03,0.07,0.02,0.01,0.05,0.04,0.05,-0.03,0.07,-0.02,0.03,-0.04,0.05,-0.02,0,0.06,0.06,0.1,0.02,0,0.01,0.07,0.05
annoying,0.03,0.18,0.19,0.06,0.07,0.12,0.15,0.26,0.13,0.15,0.07,0.23,0.05,0.31,0.11,0.19,0.16,0.19,0.2,0.09,0.2,0.07,0.26,0.15,0.24,0.18,0.15,0.1,0.2,0.16,0.18,1,0.09,0.06,0.05,0.07,0.13,0.09,0.13,0.07,0.18,0.17,0.13,0.08,0.22,0.28,0.09,0.1,0.06,0.05,0.14,0.14,0.12,0.11,0.22,0.03,0.21,0.15,0.11,0.11,0.01,0.04,0.3,0.12,0.07,0.03,0.05,0.06,0.03,0.1,0.21,0.22,-0.02,0.14,0.09,0.16,0.13,-0.03,0.03,0.19,0.02,0.05,0.25,0.17,0.15,0.21,0.13,0.22,0.29,0.19,0.04,0.13,0.22,0.21,0.02,0.26,0.21,0.12,0.09,0.06
irresponsible,0.01,0.06,0.2,0.18,0.27,0.02,0.16,0.27,0.12,0.24,-0.03,0.12,0.16,0.11,0.07,0.14,0.06,0.15,0.38,0.01,0.07,0.07,0.1,0.02,0.13,0.2,0.22,0.28,0.03,0.13,0.03,0.09,1,0.04,0.02,0.21,0.14,-0.01,0.37,0.2,0.01,0.29,0.12,0,0.13,0.24,0.3,-0.05,0.17,0.07,0,0.02,0.14,0.05,0.09,0,0.12,0.31,0.17,0.1,0.05,0.05,0.21,0.21,0.04,-0.01,0.03,0.36,0.12,0.01,0.03,0.03,0.07,0.31,0.05,0.12,0.07,-0.05,0.06,0.07,0.04,0.08,0.09,0.38,0.12,0,0.2,0.02,0.02,-0.03,-0.01,0.07,0.05,0.08,0.07,0.16,0.13,0.06,0.28,0.11
stinky,0.06,0,0.06,0.05,0.01,0.13,0.01,0.07,0.08,-0.01,0.09,0.07,0.18,0.09,0.13,0.02,0.03,0.04,-0.02,0.02,0.05,0.03,0.05,0,0.22,0.05,0.11,0.04,0.08,0.01,0.06,0.06,0.04,1,-0.04,0.02,0.06,0.05,0.1,0.13,0.12,0.14,0.1,0.02,0.01,0.04,0,0.1,-0.05,-0.06,0.09,0,-0.03,0.07,0.02,-0.04,0.13,0.04,-0.06,0.07,0.1,0.11,0.01,0.02,0,0.09,0.05,0.02,-0.06,0.1,0.02,0.16,-0.03,0.07,0.04,0.01,0.3,0.02,-0.04,0.12,-0.04,-0.01,0.12,0.1,0.02,0.16,0.08,0.06,0.04,0.03,0.05,0.04,0.17,0.2,0.09,0.11,0.1,0,-0.01,0.11
unwelcome,0.1,0.01,0.08,0.13,0.11,0,0.13,0.09,0.02,0.12,0.05,0.09,0.04,0.08,0.09,0.12,0.1,0.07,0.22,-0.01,-0.02,0.04,0.13,0,0.16,0.15,0.08,0.1,0.15,0.07,0.05,0.05,0.02,-0.04,1,0.11,0.13,0.02,0.06,0.03,0.07,0.11,0.13,-0.01,0.14,0.08,0.09,0.09,0.14,0.03,-0.04,0.09,0.11,0.07,0.05,0.04,0.03,0.03,0.09,-0.01,0.13,0.04,0.04,0.33,0,0.16,0.03,0.09,0.09,-0.01,0.11,0.02,0.1,0.1,0.07,0.01,0.03,0.19,0.14,0.03,0,0,0.11,0.23,0.09,0.1,0.18,0.05,0.07,-0.02,0.04,0.01,0.05,0.11,0.01,0.1,0.06,0.11,0.04,-0.03
phony,0.15,-0.01,0.07,0.09,0.1,-0.05,0.07,0.22,0.18,0.11,0.18,0.12,0.14,0.11,0.1,0.1,0.13,0.16,0.16,0.11,0.07,0.06,0.2,0.01,0.17,0.13,0.19,0.13,0.28,0.09,0.09,0.07,0.21,0.02,0.11,1,0.08,0.14,0.15,0.21,0.12,0.2,0.09,0.1,0.22,0.17,0.2,0.08,0.16,0.04,0.08,0.07,0.15,0.12,0.11,0.07,0.29,0.16,0.13,0.07,0.09,-0.01,0.13,0.14,0.08,0.07,0.09,0.17,0.12,0.04,0.14,0.15,0.07,0.11,0.04,0.26,0.06,0.05,0.12,0.03,0.05,0.14,0.13,0.11,0.14,0.07,0.17,0.14,0.09,-0.05,0.08,0.17,0.14,0.21,0.08,0.21,0.18,0.04,0.15,0.23
degenerate,-0.02,0.06,0.18,0.12,0.13,0.05,0.1,0.08,0.02,0.13,0.11,0.21,0.05,0.13,0.09,0.11,0.06,0.08,0.16,0,0.12,0.11,0.14,0.01,0.12,0.21,0.18,0.09,0.1,0.07,0,0.13,0.14,0.06,0.13,0.08,1,0.05,0.13,0.17,0.07,0.16,0.09,0.04,0.15,0.11,0.17,0.06,0.08,0.09,-0.01,0.01,0,0.09,0.22,0.1,0.03,0.06,0.05,0.12,0.08,0.05,0.12,0.18,0.01,0.07,0.11,0.1,0.05,0.08,0.02,0.03,0.02,0.22,0.07,0.04,0.02,0.11,0.1,0.01,0.18,0.01,0.02,0.24,0.15,0.08,0.21,0.06,0.08,-0.01,0.07,0.07,0.2,0.06,0.12,0.14,0.1,0.03,0.09,0.06
heartbroken,0.07,0.04,0.04,0.1,0.08,0.03,0.13,0.06,0.09,0.02,0.11,0.1,0.1,0.05,0.07,-0.05,0.07,0.13,0.05,0.13,-0.03,0.06,0.23,-0.01,0.13,0,0.11,0.1,0.17,0.12,-0.04,0.09,-0.01,0.05,0.02,0.14,0.05,1,-0.05,0.02,0.06,-0.02,0.13,0.03,0.1,0.02,0.07,-0.01,0.08,0,0.16,0.04,0.07,0.11,0.04,-0.02,0.2,0.02,-0.02,0.07,0.02,-0.07,-0.04,0.05,0.02,0.14,0.07,0,0.09,0.03,0.14,0.14,-0.05,0.07,0.04,0.29,0.02,0.01,-0.04,0.04,0.03,0.07,0.18,0.01,0.18,0.15,0.03,0.07,0.05,0.02,0.01,-0.03,0.18,0.13,0.09,0.11,0.14,0.06,0,0.18
reject,0.02,-0.02,0.15,0.11,0.17,0.01,0.05,0.21,0.03,0.2,0.04,0.17,0.16,0.21,0.05,0.11,0.07,0.09,0.41,-0.02,0.18,0.02,0.08,0.05,0.17,0.28,0.18,0.18,0.03,0.15,0.02,0.13,0.37,0.1,0.06,0.15,0.13,-0.05,1,0.13,0.04,0.32,0.12,-0.01,0.14,0.23,0.1,0.06,0.02,0.03,-0.03,0.04,0.15,0.07,0.17,-0.02,0.15,0.2,0.22,0.06,0.07,-0.01,0.26,0.21,0.01,0.08,0.09,0.21,0.04,0.12,0.07,-0.02,0.11,0.38,0.06,0,0.1,0.04,0.08,0.02,0.05,-0.01,0.1,0.39,0.13,0.13,0.21,0.14,0.06,-0.02,0.03,0.02,0.04,0.04,0.08,0.14,0.1,0,0.27,0.15
hesitation,0.08,0,0.06,0.35,0.24,0.13,0.26,0.33,0.2,0.22,0.19,0.36,0.23,0.1,0.4,0.19,0.25,0.2,0.21,0.17,0.14,0.12,0.28,-0.01,0.39,0.18,0.41,0.23,0.16,0.04,0,0.07,0.2,0.13,0.03,0.21,0.17,0.02,0.13,1,0.17,0.14,0.24,0.13,0.26,0.16,0.24,-0.05,0.29,0.34,0.12,0.12,0.09,0.2,0.11,0.14,0.32,0.29,0.1,0.19,0.18,0.12,0.08,0.14,0.02,0.1,0.05,0.23,-0.01,0.07,0.13,0.31,0.2,0.2,0.21,0.13,0.21,0.01,0.13,0.1,0,0.08,0.07,0.09,0.26,0.09,0.1,0.27,0.09,-0.05,0.09,0.2,0.3,0.26,0.41,0.3,0.34,0.25,0.04,0.11
sad,-0.01,0.03,0.11,0.12,0.14,0.13,0.16,0.19,0.15,0.3,0.21,0.32,0.15,0.09,0.25,0.08,0.28,0.33,0.04,0.07,0.2,0.13,0.44,0.01,0.49,0.09,0.26,0.2,0.36,0.08,0.09,0.18,0.01,0.12,0.07,0.12,0.07,0.06,0.04,0.17,1,0.23,0.19,0.15,0.32,0.22,0.09,0.07,0.3,0.06,0.3,0.12,0.26,0.19,-0.02,0.1,0.42,0.14,-0.01,0.13,-0.03,0.1,0.03,0.15,0.07,0.03,0.02,0,0.04,-0.04,0.17,0.23,0.07,0.03,0.15,0.18,0.14,0.02,0.03,0.09,-0.01,0.03,0.04,0.03,0.13,0.18,0.1,0.24,0.24,0.1,0.1,0.28,0.18,0.32,0.09,0.44,0.31,0.23,-0.04,0.12
insecure,0.01,0.03,0.25,0.14,0.13,0.02,0.07,0.36,0.05,0.29,0.05,0.24,0.15,0.22,0.1,0.07,0.05,0.08,0.32,0.03,0.27,0.12,0.15,0.02,0.23,0.31,0.14,0.16,0.08,0.13,-0.02,0.17,0.29,0.14,0.11,0.2,0.16,-0.02,0.32,0.14,0.23,1,0.2,0.13,0.24,0.43,0.13,0.13,0.12,0.14,0.12,0.12,0.24,0.06,0.05,-0.01,0.2,0.3,0.1,0.09,-0.03,-0.05,0.21,0.18,0.07,0,0.06,0.16,0.08,-0.03,0.02,0.17,0.07,0.22,0.1,0.03,0.12,0.13,0.09,0.16,0.08,0.05,0.11,0.22,0.18,0.1,0.2,0.13,0.14,0.03,0.07,0.1,0.11,0.13,0.05,0.29,0.14,0.1,0.13,0.09
awkward,0.07,0,0.25,0.21,0.09,0.02,0.18,0.22,0.25,0.18,0.17,0.43,0.21,0.15,0.24,0.14,0.27,0.24,0.21,0.02,0.15,0.09,0.2,0.03,0.36,0.17,0.3,0.19,0.1,0.13,0.03,0.13,0.12,0.1,0.13,0.09,0.09,0.13,0.12,0.24,0.19,0.2,1,0.1,0.33,0.23,0.09,0.07,0.27,0.17,0.14,0.07,0.18,0.16,0,0.1,0.37,0.18,0.01,0.07,0.13,0.1,0.11,0.17,0.04,0.11,0.11,0.1,0.03,-0.03,0.14,0.26,0.02,0.15,0.14,0.18,0.21,0.09,0.08,0.11,0,0.15,0.09,0.1,0.23,0.12,0.19,0.25,0.18,0.01,0.22,0.1,0.21,0.25,0.16,0.31,0.32,0.12,0.1,0.14
hypocrite,0.01,0.02,0.1,0.09,-0.02,0.13,0.17,0.22,0.08,0.08,0.17,0.19,0.04,-0.01,0.2,0.04,0.14,0.09,0.01,0.04,-0.03,0.05,0.15,-0.01,0.15,0,0.17,0.05,0.15,0.07,-0.05,0.08,0,0.02,-0.01,0.1,0.04,0.03,-0.01,0.13,0.15,0.13,0.1,1,0.25,0.09,-0.03,-0.01,0.18,0.22,0.08,0.12,0.01,0.04,0.02,0,0.2,0.09,0.1,0.08,0.04,0.06,0.06,0.11,0.09,0.03,0.12,0.1,0.08,-0.06,0.03,0.16,0.17,0.14,-0.02,0.15,0.1,0.07,0.07,0.01,0,0.02,0.06,-0.01,0.05,0.09,0.03,0.28,0.07,0.04,0.05,0.28,0.17,0.29,0.16,0.18,0.24,0.14,0.01,0.05
shame,0.06,0.02,0.18,0.29,0.25,0.29,0.26,0.4,0.28,0.37,0.36,0.38,0.29,0.13,0.36,0.28,0.21,0.37,0.18,0.23,0.11,0.16,0.49,0,0.42,0.17,0.47,0.29,0.24,0.09,0.06,0.22,0.13,0.01,0.14,0.22,0.15,0.1,0.14,0.26,0.32,0.24,0.33,0.25,1,0.19,0.14,0.07,0.35,0.42,-0.02,0.14,0.18,0.15,0.09,0.09,0.35,0.24,0.07,0.22,0.18,0,0.09,0.3,0.04,0.09,0.13,0.21,0.1,0.05,0.29,0.4,0.28,0.27,0.1,0.3,0.22,-0.01,0.07,0.12,0.01,0.04,0.18,0.1,0.25,0.12,0.22,0.46,0.14,-0.02,0.09,0.37,0.39,0.56,0.36,0.58,0.69,0.39,0.2,0.23
anxiety,0.1,0,0.19,0.05,0.1,0.01,0.07,0.57,0.11,0.29,0.02,0.32,0.14,0.18,0.14,0.07,0.13,0.06,0.47,0.09,0.57,0.07,0.17,0.01,0.18,0.45,0.16,0.18,0.09,0.17,-0.04,0.28,0.24,0.04,0.08,0.17,0.11,0.02,0.23,0.16,0.22,0.43,0.23,0.09,0.19,1,0.15,0.15,0.16,0.11,0.06,0.06,0.12,0.09,0.19,0.06,0.2,0.37,0.04,0.1,0.04,0.03,0.33,0.18,0.03,0.01,0.03,0.15,0.11,-0.01,-0.01,0.13,0.06,0.33,0.17,0.08,0.05,0.04,0.03,0.2,0.05,0.01,0.33,0.19,0.15,0.1,0.25,0.15,0.39,0,0.15,0.05,0.15,0.12,0.05,0.29,0.19,0.09,0.12,0.09
disaster,0.07,0.1,0.1,0.3,0.24,0.05,0.21,0.31,0.12,0.15,0.1,0.28,0.24,0.13,0.2,0.2,0.14,0.12,0.36,0,0.11,0.18,0.43,0.06,0.28,0.22,0.27,0.35,0.11,0.03,0.11,0.09,0.3,0,0.09,0.2,0.17,0.07,0.1,0.24,0.09,0.13,0.09,-0.03,0.14,0.15,1,0.01,0.21,0.06,0.01,0.27,0,0.21,0.12,0.07,0.1,0.32,0.16,0.23,0.15,0.13,0.12,0.3,0.04,0.03,0.1,0.48,0.3,0.1,0.1,0.23,0.09,0.19,0.17,0.05,0.17,0.1,0.12,0.04,0.08,0.18,0,0.09,0.24,0.11,0.15,0.1,0.11,0.01,0.1,0.11,0.1,0.13,0.1,0.22,0.15,0.18,0.2,0.1
dropout,-0.03,0.04,0.2,0.05,-0.02,0.07,-0.03,0.08,-0.02,0.04,0.09,0.06,0.07,0,0.02,-0.01,-0.01,-0.02,0.18,-0.09,0.11,0.01,0.05,0.01,0.03,0.38,0.03,0.02,0.05,0.01,0.05,0.1,-0.05,0.1,0.09,0.08,0.06,-0.01,0.06,-0.05,0.07,0.13,0.07,-0.01,0.07,0.15,0.01,1,0,-0.01,0.07,0.13,-0.02,-0.03,0.03,0.02,0.07,0.1,-0.04,-0.01,-0.01,-0.02,0.06,0.07,0.01,0.02,0,0.13,0.27,0,-0.01,0.03,0,0.03,0.04,0.07,0.12,0.07,0.05,0.06,0.01,0.07,0.02,0.15,-0.05,0.18,0.14,-0.02,0.05,0.18,0.03,-0.01,0.02,0.04,0.03,0,0.04,0,-0.09,0
disgrace,0.03,0.09,0.12,0.25,0.26,0.15,0.37,0.32,0.21,0.28,0.17,0.34,0.22,0.07,0.29,0.12,0.22,0.22,0.16,0.13,0.08,0.1,0.31,0.06,0.3,0.13,0.39,0.27,0.18,0.14,0.09,0.06,0.17,-0.05,0.14,0.16,0.08,0.08,0.02,0.29,0.3,0.12,0.27,0.18,0.35,0.16,0.21,0,1,0.24,0.05,0.15,0.16,0.15,0,0.06,0.31,0.19,0.13,0.12,0.08,0.21,0.11,0.23,0.07,0.04,0.07,0.27,0.02,0,0.15,0.22,0.25,0.16,0.19,0.23,0.11,0.05,0.17,-0.01,0.04,0.13,-0.01,0.16,0.27,0.05,0.23,0.3,0.07,0.03,0.16,0.2,0.11,0.26,0.25,0.36,0.33,0.35,0.14,0.13
scoundrel,0.07,0.04,0.1,0.35,0.21,0.19,0.14,0.26,0.13,0.21,0.08,0.32,0.17,0.01,0.35,0.23,0.23,0.14,0.1,0.1,0.01,0.15,0.18,0,0.19,0.06,0.36,0.17,0.07,0.11,-0.07,0.05,0.07,-0.06,0.03,0.04,0.09,0,0.03,0.34,0.06,0.14,0.17,0.22,0.42,0.11,0.06,-0.01,0.24,1,0.01,0.08,-0.01,0.03,0,0.05,0.15,0.17,0.04,0.23,0.08,0.03,0.03,0.19,-0.01,-0.01,0.02,0.21,0.02,-0.07,0.1,0.25,0.31,0.13,0.14,0.09,0.15,0.01,-0.01,0.02,0.03,-0.06,0.04,0.08,0.15,0,0.09,0.28,0.03,0.01,0,0.24,0.2,0.29,0.34,0.28,0.36,0.26,0.01,0.14
grumpy,-0.03,0.18,0,0.02,0.11,0.03,0.07,0.03,0.1,0.1,0.06,0.15,0.16,0.02,0.06,-0.03,0.17,0.28,0,0.01,0.03,0.11,0.19,0,0.17,0.01,0.08,0.05,0.26,0.02,0.09,0.14,0,0.09,-0.04,0.08,-0.01,0.16,-0.03,0.12,0.3,0.12,0.14,0.08,-0.02,0.06,0.01,0.07,0.05,0.01,1,0.02,0.17,0.2,0,0.06,0.27,0.07,-0.01,0.03,-0.03,0.03,0.06,-0.02,-0.01,0.03,0,0.03,0.01,-0.05,0.11,0.1,0.08,0.01,0.05,0.15,0.07,0.01,0.01,0.06,0.02,0.05,0.03,-0.04,0.05,0.29,0.03,0.19,0.06,0.21,0.08,0.09,0.06,0.13,-0.03,0.19,0.07,-0.03,-0.02,0.04
hardship,0.02,0.02,-0.02,0.29,0.07,0.03,0.11,0.27,0.05,0.12,0.05,0.22,0.09,0.14,0.17,0.15,0.15,0.13,0.24,0.09,0.07,0.05,0.24,0.03,0.24,0.3,0.13,0.2,0,0.04,0.04,0.14,0.02,0,0.09,0.07,0.01,0.04,0.04,0.12,0.12,0.12,0.07,0.12,0.14,0.06,0.27,0.13,0.15,0.08,0.02,1,0.06,-0.01,0.09,0.01,0.12,0.19,0.21,0.25,0.03,-0.03,0.11,0.42,0.03,0.01,0.05,0.31,0.51,0.02,0.03,0.2,0.14,0.12,0.12,0.01,0.18,0.23,0.15,0.01,0.08,0.03,0.05,0.02,0.21,0.09,0.08,0.13,0.06,0.01,0.03,0.13,0.15,0.05,0.12,0.17,0.15,0.15,-0.01,-0.02
sloppy,-0.02,0.04,0.15,0.04,-0.03,-0.05,0.12,0.13,-0.03,0.1,0.11,0.17,0.18,0.09,-0.02,0.01,0.1,0.15,0.14,0.09,0.06,0,0.12,0.02,0.19,0.06,0.15,0.13,0.25,0.13,0.07,0.12,0.14,-0.03,0.11,0.15,0,0.07,0.15,0.09,0.26,0.24,0.18,0.01,0.18,0.12,0,-0.02,0.16,-0.01,0.17,0.06,1,0.15,-0.06,0.05,0.27,0.08,0.01,0.1,0.01,-0.06,0.07,0.08,-0.07,0.03,0.04,0.06,0,-0.09,0.09,0.01,-0.01,0.01,-0.04,0.22,0.06,0.05,0.11,0.03,0.02,-0.02,0.09,0.14,0.1,0.17,0.06,0.16,0.02,0.02,0,0.1,0.06,0.12,0.05,0.23,0.04,0.03,0.06,0.21
creep,0.04,0.01,0.09,0.12,0.12,0.07,0.08,0.1,0.21,0.03,0.25,0.24,0.09,0.13,0.21,0.05,0.2,0.23,0.14,0.03,0.01,0.1,0.25,0.04,0.32,0.12,0.15,0.13,0.3,0.09,0.16,0.11,0.05,0.07,0.07,0.12,0.09,0.11,0.07,0.2,0.19,0.06,0.16,0.04,0.15,0.09,0.21,-0.03,0.15,0.03,0.2,-0.01,0.15,1,0.07,0.21,0.24,0.17,0.02,0.05,0.1,0.22,0.13,0.15,0.05,0.12,0.2,0.15,0.04,-0.01,0.2,0.25,0.11,0.05,0.15,0.18,0.19,0.07,0.13,0.12,0.06,0.12,0.18,0.08,0.18,0.15,0.07,0.17,0.06,0.02,0.07,0.11,0.21,0.25,0.06,0.18,0.19,0.16,0.2,0.15
defect,-0.03,0.05,0.09,0.02,0.13,0.07,0,0.2,0.07,0.04,0.01,0.09,0.06,0.13,0.03,0.06,0.11,0.05,0.37,0,0.18,0.02,0.06,0.03,0.12,0.28,0.07,0.07,0.02,0.09,-0.02,0.22,0.09,0.02,0.05,0.11,0.22,0.04,0.17,0.11,-0.02,0.05,0,0.02,0.09,0.19,0.12,0.03,0,0,0,0.09,-0.06,0.07,1,-0.04,0.07,0.08,0.28,0.1,0.08,0.08,0.27,0.12,0.02,0.12,0.05,0.1,0.09,0.1,0.11,0.05,0.05,0.19,0.05,0.06,0,0.03,0.07,-0.03,0.07,0.02,0.12,0.18,0.11,0.07,0.21,0.02,0.2,-0.04,0.08,0.05,0.23,0.1,0.1,0.05,0.09,0.02,0.04,0.08
slimy,0.06,-0.02,0.03,0.07,0.05,-0.09,0.07,0.08,0.18,0.06,0.14,0.15,0.02,0.07,0.2,0.1,0.22,0.14,0.03,-0.04,0.04,0.08,0.21,0.11,0.14,0.05,0.05,0.01,0.2,0.18,0.14,0.03,0,-0.04,0.04,0.07,0.1,-0.02,-0.02,0.14,0.1,-0.01,0.1,0,0.09,0.06,0.07,0.02,0.06,0.05,0.06,0.01,0.05,0.21,-0.04,1,0.03,0.06,-0.04,0.1,0.09,0.03,0.01,0.01,0,0.02,0.04,0.05,0,0.04,0.05,0.13,0.05,0.02,0.1,0.12,0.02,0,0.1,-0.01,0.34,0.07,0.04,-0.02,0.11,0.13,0.02,0.05,0.07,-0.03,0.07,0.09,0.04,0.09,0.01,0.16,0.07,0.08,0,0.07
embarrassed,0.02,0.08,0.08,0.15,0.2,0.13,0.17,0.21,0.26,0.25,0.25,0.45,0.22,0.14,0.25,0.14,0.32,0.28,0.19,0.25,0.12,0.05,0.36,0.03,0.43,0.19,0.36,0.19,0.21,0.11,0.06,0.21,0.12,0.13,0.03,0.29,0.03,0.2,0.15,0.32,0.42,0.2,0.37,0.2,0.35,0.2,0.1,0.07,0.31,0.15,0.27,0.12,0.27,0.24,0.07,0.03,1,0.13,0.07,0.07,0.08,0.13,0.13,0.13,0.02,0.11,0.09,0.12,-0.02,-0.02,0.29,0.29,0.11,0.14,0.13,0.34,0.17,0.02,0.1,0.19,0.02,0.12,0.13,0.16,0.21,0.33,0.11,0.41,0.19,0.18,0,0.16,0.26,0.34,0.24,0.51,0.29,0.14,-0.01,0.23
overwhelmed,0.19,0.06,0.21,0.21,0.17,0.14,0.14,0.44,0.1,0.21,0.11,0.36,0.15,0.1,0.3,0.18,0.2,0.13,0.26,0,0.12,0.16,0.36,0.05,0.26,0.24,0.18,0.29,0.08,0.11,0.07,0.15,0.31,0.04,0.03,0.16,0.06,0.02,0.2,0.29,0.14,0.3,0.18,0.09,0.24,0.37,0.32,0.1,0.19,0.17,0.07,0.19,0.08,0.17,0.08,0.06,0.13,1,0.1,0.15,0.07,0.05,0.07,0.23,0,0.03,0.16,0.32,0.16,0.03,0.19,0.32,0.17,0.2,0.21,0.15,0.19,0.12,-0.02,0.1,0.03,0.05,0.14,0.15,0.27,0.1,0.16,0.12,0.1,0.04,-0.03,0.17,0.13,0.23,0.17,0.28,0.26,0.18,0.14,0.08
fraud,0,0.08,0.13,0.08,0.22,0,0.07,0.09,0.05,0.09,0,0.11,0.14,0.1,0.05,0.1,0.07,0.06,0.32,-0.03,0.02,0.06,0.05,0.02,0.08,0.13,0.07,0.07,0,0.08,-0.02,0.11,0.17,-0.06,0.09,0.13,0.05,-0.02,0.22,0.1,-0.01,0.1,0.01,0.1,0.07,0.04,0.16,-0.04,0.13,0.04,-0.01,0.21,0.01,0.02,0.28,-0.04,0.07,0.1,1,0.11,0.06,0.08,0.09,0.14,0.05,0,0.04,0.11,0.03,0.01,0.11,0.05,0.11,0.24,0.02,0.06,0.02,0.1,0.25,0.04,0.03,0.01,0.02,0.25,0.06,0.02,0.18,0.01,0.08,0.02,0.03,0.05,0.07,0.07,0.01,0.06,0.01,0.1,0.2,0.01
vermin,-0.1,0.06,-0.03,0.3,0.14,0.05,0.14,0.23,0.1,0.17,0.13,0.22,0.17,0.08,0.23,0.3,0.19,0.14,0.1,0.08,0.02,0.17,0.32,0.07,0.17,0.15,0.14,0.22,0.13,0.1,0.09,0.11,0.1,0.07,-0.01,0.07,0.12,0.07,0.06,0.19,0.13,0.09,0.07,0.08,0.22,0.1,0.23,-0.01,0.12,0.23,0.03,0.25,0.1,0.05,0.1,0.1,0.07,0.15,0.11,1,0.12,-0.02,0.09,0.22,0.03,-0.01,0.18,0.14,0.13,0.03,0.13,0.2,0.07,0.19,0.16,0.07,0.19,0.01,0.09,0.02,0.1,-0.09,0.02,0.11,0.21,0.04,0.15,0.19,0.14,-0.01,0.02,0.24,0.17,0.1,0.18,0.31,0.17,0.22,0.06,0.07
unforgivable,0.03,0.03,0,0.11,0.18,0.01,0.14,0.07,0.1,0.06,0.07,0.21,0.12,0.08,0.28,0.1,0.17,0.12,0.1,0.09,-0.04,0.04,0.1,0.03,0.16,0.08,0.16,0.09,0.05,0.02,0.01,0.01,0.05,0.1,0.13,0.09,0.08,0.02,0.07,0.18,-0.03,-0.03,0.13,0.04,0.18,0.04,0.15,-0.01,0.08,0.08,-0.03,0.03,0.01,0.1,0.08,0.09,0.08,0.07,0.06,0.12,1,0.01,0.06,0.07,0,0.04,0,0.09,-0.02,0.1,-0.01,0.09,0.2,0.08,0.12,0.18,0.18,0,0.06,0.11,0.03,0.03,0.12,0.01,0.1,0.08,0.08,0.31,0.09,-0.09,-0.01,0.04,0.2,0.22,0.05,0.12,0.18,0.08,0.14,0.11
quitter,0.07,0.01,0.06,0.08,0.13,0.12,0.08,0,0.05,0.08,0.1,0.12,0.05,0,0.11,0.02,0.04,0.01,-0.02,-0.08,0,-0.01,0.1,0.02,0.11,0.04,0.23,0.17,0.02,0,0.02,0.04,0.05,0.11,0.04,-0.01,0.05,-0.07,-0.01,0.12,0.1,-0.05,0.1,0.06,0,0.03,0.13,-0.02,0.21,0.03,0.03,-0.03,-0.06,0.22,0.08,0.03,0.13,0.05,0.08,-0.02,0.01,1,-0.01,0.03,0.09,0.08,0.13,0.09,-0.08,-0.02,0.06,0.08,0.04,0.19,0.01,0.05,0.2,0,0,-0.07,-0.02,-0.09,0.04,0.09,0.07,0.08,0.04,0.01,-0.03,0.03,0.01,0.07,0.05,0.08,0.06,0.01,0.06,0.07,0.18,0.02
undesirable,-0.02,0.18,0.06,0.03,0.12,-0.04,0.02,0.22,0.12,0.09,0,0.1,0.06,0.37,0.01,0.06,0.12,0.05,0.34,0.1,0.14,0.02,-0.01,0.17,0.15,0.31,0.14,0.03,0.03,0.22,0.1,0.3,0.21,0.01,0.04,0.13,0.12,-0.04,0.26,0.08,0.03,0.21,0.11,0.06,0.09,0.33,0.12,0.06,0.11,0.03,0.06,0.11,0.07,0.13,0.27,0.01,0.13,0.07,0.09,0.09,0.06,-0.01,1,0.18,0.07,0.08,0.02,0.13,0.08,0.01,0.04,0.02,0.05,0.22,0.05,0.09,-0.02,0.04,0.04,-0.03,0.14,0.05,0.08,0.18,0.04,0.12,0.15,0.13,0.12,0,0.04,0.04,0.08,0.07,0.04,0.09,0.04,0.07,0.25,0.09
