,Word,MeanValence,ValenceStand,MeanArousal,val,letters,frequency,Concreteness,Img,pos,Unnamed: 10,Unnamed: 11,Unnamed: 12
91,lowlife,2.68,2.68,4.29,0,7,105,3.27,,noun,,,
92,lunatic,3.47,3.47,5.64,0,7,433,3.27,,noun,,,
93,maggot,2,2,5.6,0,6,81,4.97,,noun,,,
94,menace,3.13,3.13,4.89,0,6,190,2.3,398,noun,,,
95,mess,3.5,3.5,4.7,0,4,3985,3.9,,noun,,,
96,miserable,2.6,2.6,5.06,0,9,1096,1.97,,adj,,,
97,mistake,2.89,2.89,4.93,0,7,5200,1.97,380,noun,,,
98,mousy,3.74,3.74,3.1,0,5,42,2.5,,noun,,,
99,nauseous,1.95,1.95,4.18,0,8,158,2.41,,adj,,,
100,negligent,2.05,2.05,4.45,0,9,51,1.92,339,noun,NegCon,,
102,nutcase,2.81,2.81,3.76,0,7,67,2.93,,noun,,,
103,outcast,2.86,2.86,5.17,0,7,67,2.62,,noun,,,
104,overwhelmed,2.8,2.8,4.9,0,11,201,1.92,,adj,,,
105,pain,2,2,6.27,0,4,4995,3.5,502,noun,NegLet,,
106,parasite,1.9,1.9,5.65,0,8,126,4.34,,noun,NegVal,2.853095238,0.055238188
107,peril,3.19,3.19,5.95,0,5,98,2.52,,noun,,,
108,pest,2.67,2.67,5.14,0,4,146,3.96,445,noun,,,
109,phony,2.52,2.52,4.4,0,5,421,2.19,,noun,,,
110,pity,3.18,3.18,4.07,0,4,1199,1.87,391,noun,,,
111,pollution,2,2,5.19,0,9,97,3.75,509,noun,PosLet,,
112,prick,2.81,2.81,4.26,0,5,720,3.91,,noun,,,
113,problem,3.52,3.52,4.81,0,7,16833,2.68,411,noun,,,
114,quitter,2.95,2.95,5.43,0,7,73,2.54,,noun,,,
115,regret,3.41,3.41,4.9,0,6,1384,1.8,359,noun,,,
116,reject,2.95,2.95,4.78,0,6,216,2.4,,noun,,,
117,repulsive,1.95,,5.12,0,9,103,2.11,,adj,,,
118,rude,2.04,2.04,4.7,0,4,1125,2.52,390,noun,,,
119,sad,2.1,,3.49,0,3,3232,3.07,,adj,,,
120,scoundrel,3.25,3.25,6.26,0,9,152,2.93,,noun,,,
121,scum,2.12,2.12,5.2,0,4,505,3.9,,noun,,,
122,scumbag,2.48,2.48,5.1,0,7,281,3.76,,noun,,,
123,selfish,3.3,3.3,4.57,0,7,811,1.92,,adj,,,
124,sham,3.45,3.45,3.14,0,4,77,3.07,,noun,,,
125,shame,2.62,2.62,5.4,0,5,2120,2.24,419,noun,,,
126,sinner,3.25,3.25,5.38,0,6,126,3.07,,noun,,,
127,sleaze,2.95,2.95,4.12,0,6,39,2.41,,noun,,,
128,slimy,3.21,3.21,5.1,0,5,159,3.26,,adj,,,
129,slob,2.48,2.48,4.7,0,4,182,3.22,,noun,,,
130,sloppy,3.42,3.42,3.64,0,6,300,2.44,,adj,,,
131,stinky,3.16,3.16,3.76,0,6,182,3.73,,adj,,,
132,stress,1.79,1.79,4.72,0,6,796,2.62,,noun,,,
133,tense,2.75,2.75,5.32,0,5,522,2.35,,adj,,,
134,terrible,2.1,2.1,4.39,0,8,4795,2.04,,adj,,,
135,terrified,2.51,,6.1,0,9,488,2.43,,adj,,,
136,toxin,2.42,2.42,5.52,0,5,46,3.89,,noun,,,
137,traitor,2.39,2.39,4.27,0,7,540,3.69,447,noun,,,
139,trash,2.74,2.74,3.66,0,5,1146,4.7,599,noun,,,
140,turnoff,2.85,2.85,4.26,0,7,36,2.36,,noun,,,
141,unbearable,2.1,2.1,5.76,0,10,129,2,,adj,NegPos,,
142,undesirable,3,3,4,0,11,33,2.22,,noun,,,
144,unemployed,2.67,2.67,5.26,0,10,186,2.57,,adj,,,
145,unemployment,2.32,2.32,5.59,0,12,160,3.11,,noun,,,
146,unfaithful,2.33,,5.59,0,10,120,1.93,,adj,,,
147,unforgivable,2.33,,6.25,0,12,100,1.32,,adj,,,
148,unhealthy,2.55,2.55,4.36,0,9,83,2.7,,adj,,,
149,uninvited,3.35,3.35,4.38,0,9,71,2.39,,noun,,,
150,unlucky,2.7,2.7,2.7,0,7,210,1.79,,adj,,,
151,unpleasantness,2.59,2.59,4.36,0,14,29,2,425,noun,,,
152,unreliable,2.74,,4.29,0,10,85,1.83,,adj,,,
153,unsuccessful,2.33,,3.36,0,12,44,2.25,,adj,,,
154,untrustworthy,2.67,2.67,4.8,0,13,21,2,,adj,,,
155,unwanted,2.71,2.71,5.1,0,8,70,2,,adj,,,
156,unwelcome,3.5,3.5,4.39,0,9,37,2,,adj,,,
157,unworthy,2.79,2.79,4.24,0,8,97,1.93,,adj,,,
158,useless,2.8,2.8,4.39,0,7,1017,1.78,,adj,,,
159,vagrant,2.63,2.63,3.82,0,7,32,3.46,,noun,,,
160,vermin,2.41,2.41,5.22,0,6,121,4.48,,noun,,,
161,victim,2.05,2.05,5.37,0,6,2434,3.59,521,noun,PosCon,,
162,wacko,3.89,3.89,5.32,0,5,141,2.28,,noun,,,
163,wannabe,3.25,3.25,5.05,0,7,64,1.85,,noun,,,
164,waste,2.61,2.61,4.04,0,5,2716,3.24,448,noun,,,
165,wimp,3.05,3.05,2.38,0,4,159,2.9,,noun,,,
166,woe,3.38,3.38,4.71,0,3,119,2.83,348,noun,,,
167,worthless,1.89,1.89,4.45,0,9,473,1.97,,adj,,,
168,academic,6.61,3.39,3.32,1,8,238,2.11,,noun,,,
169,accomplishment,8.05,1.95,4.96,1,14,96,2.5,,noun,,,
170,achievement,7.28,2.72,5.57,1,11,178,2.37,,noun,,,
171,admired,7.25,2.75,5.95,1,7,187,1.84,,adj,,,
172,adventure,7.4,2.6,6.36,1,9,685,2.59,,noun,,,
173,adventurer,7,3,5.27,1,10,37,3.73,497,noun,,,
174,affectionate,7.23,2.77,4.77,1,12,115,2.28,,adj,,,
175,allure,6.9,3.1,4.25,1,6,30,1.92,,noun,,,
176,ambition,7.28,2.72,4.86,1,8,273,1.74,346,noun,,,
177,amusement,7,3,4.82,1,9,191,2.07,,noun,,,
178,appeal,6.3,3.7,3.57,1,6,663,1.73,402,noun,,,
179,art,6.85,3.15,4.48,1,3,3611,4.17,493,noun,,,
180,asset,7.25,2.75,4.43,1,5,193,2.92,,noun,,,
181,athlete,6.21,3.79,4.75,1,7,235,4.3,591,noun,,,
182,attractive,7.19,2.81,4.91,1,10,1256,2.64,,noun,,,
184,awareness,6.45,3.55,3.73,1,9,115,1.84,,noun,,,
185,awesome,7.86,,6.05,1,7,1600,1.83,,adj,,,
186,benevolence,6.29,3.71,4.35,1,11,21,1.63,,noun,,,
187,blessing,7.18,2.82,4.21,1,8,495,2.19,422,noun,,,
188,blissful,7.67,,3.74,1,8,27,2.15,,adj,,,
189,brain,6.22,3.78,3.35,1,5,3928,4.69,572,noun,,,
190,bravery,7.38,2.62,5.84,1,7,147,1.96,450,noun,,,
191,buff,6.21,3.79,4.59,1,4,127,3.73,,noun,,,
192,capable,7.05,,4,1,7,1062,2.21,,adj,,,
193,carefree,7.32,2.68,4.15,1,8,69,1.88,,adj,,,
194,champ,6.35,3.65,5.04,1,5,771,3.29,,noun,,,
195,champion,7.33,2.67,4.74,1,8,1067,3.82,,adj,,,
196,charitable,7.33,2.67,3.5,1,10,104,2.13,,adj,,,
197,charm,7.34,,4.51,1,5,794,2.76,,noun,,,
198,charming,7.05,,5,1,8,1434,2.14,,adj,,,
199,clever,7.36,2.64,5.25,1,6,1391,1.79,,adj,,,
200,cleverness,6.95,3.05,5.55,1,10,26,2.07,,noun,,,
201,closeness,6.85,3.15,3.9,1,9,36,2.39,,noun,,,
202,comfortable,7.67,,2.38,1,11,2408,2.33,,adj,,,
203,comforting,7.47,,3,1,10,222,2.41,,adj,,,
204,commitment,6.33,3.67,4.26,1,10,550,1.74,,noun,,,
205,companion,7.25,2.75,4.06,1,9,323,3.75,,noun,,,
206,companionship,7.9,2.1,5.05,1,13,96,2.45,,noun,,,
207,compatibility,6.5,3.5,5.32,1,13,23,1.94,,noun,,,
208,compensation,6.55,3.45,4.73,1,12,109,3.25,,noun,,,
209,confidence,6.71,3.29,4.04,1,10,993,2.17,317,noun,,,
210,confident,7.56,2.44,4.62,1,9,543,2.62,,adj,,,
211,consideration,6.4,3.6,3.45,1,13,334,1.86,318,noun,,,
212,contentment,6.62,3.38,4.6,1,11,21,2.25,,noun,,,
213,courtesy,6.79,3.21,4.3,1,8,414,1.77,,noun,,,
214,creative,7.06,2.94,4.86,1,8,548,1.93,,adj,,,
215,creator,6.45,3.55,4.89,1,7,142,3.07,409,noun,,,
216,delight,8.21,1.79,5.02,1,7,288,2.3,459,noun,,,
217,delighted,7.74,,5,1,9,660,2.86,,adj,,,
